Date, Open, High, Low, Close,sqrt(close),change,unemployment,,,
12/30/16,19833.17,19852.55,19718.67,19762.6,140.5795149,,,,CORREL,0.076189123
12/29/16,19835.46,19878.44,19788.94,19819.78,140.7827404,,,,,
12/28/16,19964.31,19981.11,19827.31,19833.68,140.8320986,,,,,
12/27/16,19943.46,19980.24,19939.8,19945.04,141.2269096,,,,,
12/23/16,19908.61,19934.15,19899.06,19933.81,141.1871453,,,,,
12/22/16,19922.68,19933.83,19882.19,19918.88,141.1342623,,,,,
12/21/16,19968.97,19986.56,19941.96,19941.96,141.2160048,,,,,
12/20/16,19920.59,19987.63,19920.42,19974.62,141.3315959,,,,,
12/19/16,19836.66,19917.78,19832.95,19883.06,141.0073048,,,,,
12/16/16,19909.01,19923.17,19821,19843.41,140.8666391,,,,,
12/15/16,19811.5,19951.29,19811.5,19852.24,140.8979773,,,,,
12/14/16,19876.13,19966.43,19748.67,19792.53,140.6859268,,,,,
12/13/16,19852.21,19953.75,19846.45,19911.21,141.107087,,,,,
12/12/16,19770.2,19824.59,19747.74,19796.43,140.6997868,,,,,
12/9/16,19631.35,19757.74,19623.19,19756.85,140.5590623,,,,,
12/8/16,19559.94,19664.97,19527.83,19614.81,140.0528829,,,,,
12/7/16,19241.99,19558.42,19229.83,19549.62,139.8199557,,,,,
12/6/16,19219.91,19255.89,19184.74,19251.78,138.7507838,,,,,
12/5/16,19244.35,19274.85,19186.73,19216.24,138.6226533,,,,,
12/2/16,19161.25,19196.14,19141.18,19170.42,138.4572858,,,,,
12/1/16,19149.2,19214.3,19138.79,19191.93,138.5349414,0.226068002,4.7,,,
11/30/16,19135.64,19225.29,19123.38,19123.58,138.2880327,,,,,
11/29/16,19064.07,19144.4,19062.22,19121.6,138.2808736,,,,,
11/28/16,19122.14,19138.72,19072.25,19097.9,138.1951519,,,,,
11/25/16,19093.72,19152.14,19093.72,19152.14,138.3912569,,,,,
11/23/16,19015.52,19083.76,19000.38,19083.18,138.1418836,,,,,
11/22/16,18970.39,19043.9,18962.82,19023.87,137.9270459,,,,,
11/21/16,18898.68,18960.76,18883.1,18956.69,137.683296,,,,,
11/18/16,18905.33,18915.74,18853.83,18867.93,137.3605839,,,,,
11/17/16,18866.22,18904.03,18845.27,18903.82,137.4911634,,,,,
11/16/16,18909.85,18909.85,18825.89,18868.14,137.3613483,,,,,
11/15/16,18858.21,18925.26,18806.06,18923.06,137.5611137,,,,,
