Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
8/29/97,"7,622.42","7,729.73","7,580.85","7,622.42",87.3064717,,,,
8/28/97,"7,694.43","7,831.70","7,634.50","7,694.43",87.71790011,,,,
8/27/97,"7,787.33","7,850.51","7,666.55","7,787.33",88.24584976,,,,
8/26/97,"7,782.22","7,891.62","7,734.61","7,782.22",88.21689181,,,,
8/25/97,"7,859.57","7,974.08","7,791.75","7,859.57",88.65421592,,,,
8/22/97,"7,887.91","7,904.86","7,695.36","7,887.91",88.81390657,,,,
8/21/97,"7,893.95","8,043.06","7,834.02","7,893.95",88.84790375,,,,
8/20/97,"8,021.23","8,037.95","7,870.95","8,021.23",89.56131978,,,,
8/19/97,"7,918.10","7,947.37","7,776.65","7,918.10",88.98370637,,,,
8/18/97,"7,803.36","7,847.49","7,588.28","7,803.36",88.33662887,,,,
8/15/97,"7,694.66","7,919.26","7,685.14","7,694.66",87.71921112,,,,
8/14/97,"7,942.03","8,027.73","7,843.54","7,942.03",89.11806775,,,,
8/13/97,"7,928.32","8,075.58","7,848.19","7,928.32",89.0411141,,,,
8/12/97,"7,960.84","8,132.49","7,926.46","7,960.84",89.22353949,,,,
8/11/97,"8,062.11","8,122.27","7,922.52","8,062.11",89.78925325,,,,
8/8/97,"8,031.22","8,170.58","7,961.07","8,031.22",89.61707427,,,,
8/7/97,"8,188.00","8,340.14","8,158.73","8,188.00",90.48756821,,,,
8/6/97,"8,259.31","8,302.05","8,130.63","8,259.31",90.88074604,,,,
8/5/97,"8,187.54","8,251.88","8,129.93","8,187.54",90.48502639,,,,
8/4/97,"8,198.45","8,261.40","8,097.65","8,198.45",90.54529253,,,,
8/1/97,"8,194.04","8,287.65","8,062.11","8,194.04",90.5209368,0.120188548,4.8,,
7/31/97,"8,222.61","8,328.99","8,160.36","8,222.61",90.67860828,,,,
7/30/97,"8,254.89","8,313.19","8,156.88","8,254.89",90.8564252,,,COEFF,-0.320142537
7/29/97,"8,174.53","8,232.36","8,049.34","8,174.53",90.41310746,,,,
7/28/97,"8,121.11","8,221.68","8,051.89","8,121.11",90.11720147,,,,
7/25/97,"8,113.44","8,200.31","8,037.95","8,113.44",90.07463572,,,,
7/24/97,"8,116.93","8,174.53","7,968.51","8,116.93",90.09400646,,,,
