Date, Open, High, Low, Close,log(close),sqrt(close),(DJIA)^0.5 Growth Rate,GDP Growth Rate,Unemployment Rate
7/28/22,32197.62,32609.54,31982.61,32529.63,4.512279124,180.3597239,,,3.6
7/27/22,31865.05,32336.23,31799.43,32197.59,4.507823366,179.4368691,-1.071023997,,
7/26/22,31950.04,31950.04,31705.36,31761.54,4.501901552,178.2176759,-0.289636067,,
7/25/22,31950.93,32029.03,31821.67,31990.04,4.505014783,178.857597,0.193023737,,
7/22/22,32167.92,32219.25,31731.47,31899.29,4.503781017,178.6037234,0.065475066,,
7/21/22,31826.49,32040.63,31534.08,32036.9,4.505650486,178.9885471,-0.034230371,,
7/20/22,31829.99,31944.45,31646.95,31874.84,4.503448013,178.5352626,-0.293586903,,
7/19/22,31165.91,31842.25,31165.91,31827.05,4.502796386,178.4013733,-1.130508032,,
7/18/22,31475.98,31644.68,30982.97,31072.61,4.492377734,176.2742466,-0.758247749,,
7/15/22,30775.37,31288.26,30775.37,31288.26,4.495381412,176.8848778,-0.629737877,,
7/14/22,30451.8,30680.12,30143.93,30630.17,4.486149407,175.0147708,-0.73156444,,
7/13/22,30743.63,30979.17,30514.61,30772.79,4.488166873,175.4217489,0.500185294,,
7/12/22,31113.31,31346.1,30860.51,30981.33,4.491100058,176.0151414,0.569700972,,
7/11/22,31277.98,31367.55,31114.4,31173.84,4.493790302,176.5611509,0.505352088,,
7/8/22,31348.43,31511.46,31212.45,31338.15,4.496073355,177.0258456,0.297850263,,
7/7/22,31190.65,31421.84,31154.64,31384.55,4.496715906,177.1568514,-0.42535272,,
7/6/22,30957.3,31224.69,30794.84,31037.68,4.491889251,176.1751401,-0.590045788,,
7/5/22,30903.12,30971.74,30355.12,30967.82,4.490910634,175.9767598,0.084506013,,
7/1/22,30737.77,31139.35,30487.79,31097.26,4.492722125,176.3441522,-0.273743166,,
6/30/22,30790,30979.85,30431.87,30775.43,4.48820413,175.4292735,-0.096384199,,3.6
6/29/22,31067.41,31152.96,30894.53,31029.31,4.491772118,176.1513838,0.244146212,,
6/28/22,31549.05,31885.09,30934.33,30946.99,4.490618415,175.9175659,0.578495839,,
6/27/22,31533.6,31598.59,31351.37,31438.26,4.497458501,177.3083754,0.783371622,,
6/24/22,30846.94,31517.29,30846.94,31500.68,4.498319929,177.4843092,-1.079419663,,
6/23/22,30570.33,30715.63,30293.4,30677.36,4.486817983,175.1495361,-1.445061275,,
6/22/22,30352.57,30777.92,30166.01,30483.13,4.484059558,174.5941866,-0.210230055,,
6/21/22,30074.69,30653.98,30074.69,30530.25,4.484730361,174.729076,-0.855234235,,
6/17/22,29912.7,30167.52,29653.29,29888.78,4.475508188,172.8837181,-0.867327063,,
6/16/22,30305.74,30305.74,29740.35,29927.07,4.476064199,172.9944219,1.120304559,,
6/15/22,30570.5,31011.97,30185.08,30668.53,4.48669296,175.1243273,0.630324893,,
6/14/22,30592.34,30690.8,30144.23,30364.83,4.482370854,174.2550717,-0.216957696,,
6/13/22,31144.91,31144.91,30373.72,30516.74,4.484538138,174.6904119,1.462517222,,
6/10/22,32053.52,32053.52,31387.84,31392.79,4.496829915,177.1801061,2.477939745,,
6/9/22,32828.62,32956.73,32267.78,32272.79,4.508836512,179.6462914,2.11675485,,
6/8/22,33087.07,33156.5,32824.37,32910.9,4.517339759,181.4136158,1.253937057,,
6/7/22,32783.03,33207.45,32641.85,33180.14,4.520878214,182.1541655,0.006724715,,
6/6/22,33032.04,33235.37,32819.5,32915.78,4.517404151,181.4270652,-0.385710491,,
6/3/22,32986.32,33135.61,32839.21,32899.7,4.517191938,181.3827445,0.457021839,,
6/2/22,32809.01,33248.61,32509.43,33248.28,4.521769183,182.3411089,-0.119260093,,
6/1/22,33156.31,33272.34,32584.76,32813.23,4.516048983,181.1442243,-0.354641754,,
5/31/22,33160.59,33240.22,32752.34,32990.12,4.518383895,181.6318254,0.550003713,,3.6
5/27/22,32735.09,33213.62,32682.01,33212.96,4.521307582,182.2442317,-0.487082864,,
5/26/22,32248.17,32774.14,32248.17,32637.19,4.51371276,180.6576597,-1.511458018,,
5/25/22,31816.31,32254.44,31754.33,32120.28,4.506779322,179.2213157,-0.985923013,,
5/24/22,31717.61,32014.86,31365.59,31928.62,4.504180148,178.6858137,-0.335465325,,
5/23/22,31395.89,31968.42,31395.89,31880.24,4.503521582,178.550385,-0.937731637,,
5/20/22,31426.94,31515.78,30635.76,31261.9,4.49501537,176.8103504,-0.882418497,,
5/19/22,31262.62,31569.13,31016.41,31253.13,4.494893518,176.7855481,0.322033153,,
5/18/22,32468.67,32468.67,31393.95,31490.07,4.498173626,177.4544167,1.960131295,,
5/17/22,32427,32689.14,32308.15,32654.59,4.513944235,180.7058106,1.027206592,,
5/16/22,32152.15,32514.02,31928.18,32223.42,4.508171632,179.5088299,-0.63576649,,
5/13/22,31963.86,32276.05,31862.79,32196.66,4.507810821,179.4342777,-0.689410582,,
5/12/22,31699.04,31914.46,31228.22,31730.3,4.501474178,178.1300087,-0.506559301,,
5/11/22,32123.24,32584.02,31798.86,31834.11,4.502892713,178.4211591,0.602074335,,
5/10/22,32504.09,32752.17,31887.89,32160.74,4.507326033,179.3341574,0.574859156,,
5/9/22,32685.17,32685.17,32121.98,32245.7,4.508471809,179.5708774,1.023838721,,
5/6/22,32773.88,33055.84,32474.69,32899.37,4.517187582,181.3818348,1.041278199,,
5/5/22,33854.17,33854.17,32685.1,32997.97,4.518487223,181.6534338,1.587276117,,
5/4/22,33171.8,34117.74,33021.84,34061.06,4.532258159,184.556387,0.179862548,,
5/3/22,33086.09,33341.58,32914.75,33128.79,4.520205574,182.0131589,-1.364085708,,
5/2/22,32978.49,33224.95,32449.87,33061.5,4.519322554,181.8282156,-0.208437932,,
4/29/22,33787.01,33919.59,32913.15,32977.21,4.51821391,181.596283,1.167907257,,3.6
4/28/22,33425.96,34054.79,33248.46,33916.39,4.530409621,184.1640301,0.445940499,,
4/27/22,33450.92,33697.18,33108.89,33301.93,4.522469404,182.488164,-0.922566852,,
4/26/22,33907.49,33909.51,33230.95,33240.18,4.521663367,182.3188964,1.018396831,,
4/25/22,33731.65,34106.01,33323.37,34049.46,4.532110229,184.5249577,0.779933982,,
4/22/22,34727.38,34727.38,33773.39,33811.4,4.529063154,183.8787644,1.001608577,,
4/21/22,35258.8,35492.22,34723.82,34792.76,4.541488881,186.5281748,1.816670934,,
4/20/22,34962.67,35315.4,34962.67,35160.79,4.546058624,187.5121063,0.158607908,,
4/19/22,34394.62,34983.11,34394.62,34911.2,4.542964777,186.8453906,-1.004112457,,
4/18/22,34411.49,34618.29,34279.08,34411.69,4.536706002,185.5038814,-0.617482639,,
4/14/22,34628.46,34889.17,34437.5,34451.23,4.537204732,185.6104254,0.205831991,,
4/13/22,34166.64,34598.36,34140.64,34564.59,4.53863141,185.9155453,-0.31148316,,
4/12/22,34412.51,34669.97,34102.81,34220.36,4.534284574,184.987459,-0.345570451,,
4/11/22,34630.27,34701.34,34272.29,34308.08,4.535396414,185.2244044,0.674290747,,
4/8/22,34569.24,34908.46,34470.19,34721.12,4.540593726,186.3360405,0.37108929,,
4/7/22,34439.24,34705.83,34190.95,34583.57,4.538869823,185.966583,-0.30183966,,
4/6/22,34520.34,34609.84,34277.17,34496.51,4.53777516,185.7323612,0.077414484,,
4/5/22,34876.33,35112.21,34566.04,34641.18,4.539592677,186.121412,0.570803508,,
4/4/22,34799.98,34940.78,34615.38,34921.88,4.543097616,186.8739682,0.237565695,,
4/1/22,34740.89,34847.91,34538.25,34818.27,4.541807189,186.5965434,-0.326364417,,
3/31/22,35201.52,35201.52,34677.99,34678.35,4.540058426,186.2212394,0.54842511,,3.6
3/30/22,35273.63,35361.36,35058.58,35228.81,4.546897973,187.6933936,0.82312025,,
3/29/22,35114.35,35372.26,35030.07,35294.19,4.547703219,187.8674799,-0.36422518,,
3/28/22,34833.03,34957.93,34552.23,34955.89,4.543520364,186.9649432,-0.577915274,,
3/25/22,34702.39,34942.7,34631.52,34861.24,4.542342831,186.7116493,-0.332136139,,
3/24/22,34406.81,34713.56,34355.42,34707.94,4.540428838,186.300671,-0.675594848,,
3/23/22,34748.84,34748.84,34352.96,34358.5,4.536034195,185.3604596,0.133451965,,
3/22/22,34583.24,34882.03,34583.24,34807.46,4.541672333,186.5675749,0.261943059,,
3/21/22,34669.85,34808.28,34341.81,34552.99,4.538485634,185.8843458,-0.070416623,,
3/18/22,34466.72,34755.2,34279.83,34754.93,4.541016418,186.4267416,-0.097194558,,
3/17/22,33995.39,34483.92,33896.06,34480.76,4.53757683,185.6899566,-0.932413957,,
3/16/22,33653.93,34075.94,33391.24,34063.1,4.53228417,184.5619137,-1.269408438,,
3/15/22,32989.27,33620.84,32989.27,33544.34,4.525619251,183.1511398,-1.526838502,,
3/14/22,33000.37,33395.59,32818.16,32945.24,4.517792676,181.5082367,-0.822897749,,
3/11/22,33279.72,33515.61,32911.89,32944.19,4.517778834,181.5053443,0.314633137,,
3/10/22,33106.77,33236.59,32819.76,33174.07,4.520798757,182.137503,0.469926489,,
3/9/22,32860.42,33457.28,32860.42,33286.25,4.522264871,182.4451973,-0.746218322,,
3/8/22,32885.17,33402.98,32578.73,32632.64,4.51365221,180.6450664,-0.644759172,,
3/7/22,33579.75,33579.75,32806.15,32817.38,4.516103906,181.1556789,1.349163652,,
3/4/22,33655.43,33655.43,33254.12,33614.8,4.526530532,183.3433937,1.338780372,,
3/3/22,33972.87,34179.07,33641.53,33794.66,4.528848081,183.8332396,0.376320529,,
3/2/22,33379.51,34013.67,33379.51,33891.35,4.530088869,184.0960347,-0.68210059,,
3/1/22,33813.48,33870.14,33107.67,33294.95,4.522378367,182.4690385,0.001697468,,
2/28/22,33870.62,33963.63,33469.31,33892.6,4.530104886,184.0994297,1.040545111,,3.8
2/25/22,33277.22,34095.74,33277.22,34058.75,4.532228705,184.5501287,-0.912688873,,
2/24/22,32830.33,33269.34,32272.64,33223.83,4.521449696,182.2740519,-1.264405629,,
2/23/22,33680.97,33832.59,33084.9,33131.76,4.520244507,182.0213174,0.509864336,,
2/22/22,33974.09,34024.74,33364.29,33596.61,4.526295458,183.2937806,1.292076888,,
2/18/22,34310.45,34423.58,33976.18,34079.18,4.532489136,184.6054712,0.970643146,,
2/17/22,34858.47,34858.47,34246.23,34312.03,4.535446413,185.2350669,1.150822381,,
2/16/22,34951.83,35042.09,34642.64,34934.27,4.543251672,186.907116,0.908986866,,
2/15/22,34686.19,35047.79,34686.19,34988.84,4.543929544,187.0530406,-0.493660717,,
2/14/22,34694.5,34744.56,34304.28,34566.17,4.538651262,185.9197945,-0.335775054,,
2/11/22,35267.89,35431.15,34620.52,34738.06,4.540805561,186.3814905,0.90382043,,
2/10/22,35630.81,35800.24,35100.72,35241.59,4.547055494,187.7274354,1.37148294,,
2/9/22,35614.9,35824.28,35614.9,35768.06,4.553495385,189.1244564,0.294101946,,
2/8/22,35160.68,35544.89,35090.42,35462.78,4.549772778,188.3156393,-0.8990951,,
2/7/22,35108.38,35325.01,34993.98,35091.13,4.545197354,187.3262662,-0.496541625,,
2/4/22,35095.74,35333.55,34799.08,35089.74,4.54518015,187.322556,0.026727622,,
2/3/22,35520.08,35535.94,35071.06,35111.16,4.545445178,187.3797214,0.717387474,,
2/2/22,35378.19,35679.2,35290.12,35629.33,4.551807656,188.757331,0.391540214,,
2/1/22,35151.47,35441.09,34977.95,35405.24,4.549067543,188.1628018,-0.661191134,,
1/31/22,34691.17,35148.14,34496.1,35131.86,4.545701143,187.4349487,-0.907544613,,4.0
1/28/22,34135.24,34731.77,33807.51,34725.47,4.540648133,186.3477126,-1.30429889,,
1/27/22,34261.75,34773.32,34007.78,34160.78,4.533527778,184.8263509,-0.750793714,,
1/26/22,34520.82,34815.67,33876.48,34168.09,4.533620702,184.8461252,0.185056157,,
1/25/22,34186.64,34591.04,33545.52,34297.73,4.535265377,185.1964632,0.265259212,,
1/24/22,34070.61,34420.99,33150.33,34364.5,4.536110029,185.3766436,-0.043693648,,
1/21/22,34701.69,34896.67,34229.55,34265.37,4.534855426,185.109076,0.472010413,,
1/20/22,35102.66,35490.2,34670.12,34715.39,4.540522049,186.3206644,1.025174034,,
1/19/22,35412.3,35547.83,35015.49,35028.65,4.5444234,187.159424,0.87220204,,
1/18/22,35661.76,35661.76,35262.02,35368.47,4.548616273,188.0650685,1.172346014,,
1/14/22,35996.43,35996.43,35641.49,35911.81,4.555237295,189.5041161,0.985385099,,
1/13/22,36312.49,36513.88,36044.22,36113.62,4.557671024,190.0358387,0.498033838,,
1/12/22,36336.16,36453.49,36168.15,36290.32,4.559790798,190.5001837,0.181896814,,
1/11/22,36058.85,36271.47,35769.38,36252.02,4.559332211,190.3996324,-0.291061224,,
1/10/22,36175.21,36175.21,35639.91,36068.87,4.557132537,189.9180613,-0.026736999,,
1/7/22,36249.59,36382.84,36111.53,36231.66,4.559088232,190.3461584,0.220365765,,
1/6/22,36409.05,36464.19,36200.68,36236.47,4.559145884,190.3587928,0.230157141,,
1/5/22,36722.6,36952.65,36400.39,36407.11,4.561186206,190.8064726,0.736777935,,
1/4/22,36636,36934.84,36636,36799.65,4.565843688,191.8323487,0.23287088,,
1/3/22,36321.59,36595.82,36246.45,36585.06,4.563303772,191.2722144,-0.603137456,,
12/31/21,36385.85,36484.94,36303.97,36338.3,4.560364606,190.6260738,-0.244702973,,
12/30/21,36522.48,36679.44,36372.13,36398.08,4.561078475,190.7828084,0.196949505,5.671107191,3.9
12/29/21,36421.14,36571.55,36396.19,36488.63,4.562157558,191.0199728,0.000170351,,
12/28/21,36302.99,36527.26,36302.99,36398.21,4.561080026,190.7831492,-0.244069084,,
12/27/21,35954.48,36306.61,35954.48,36302.38,4.559935099,190.5318346,-0.588410071,,
12/23/21,35782.42,36060.99,35782.42,35950.56,4.55570566,189.606329,-0.722422024,,
12/22/21,35491.71,35764.67,35433.13,35753.89,4.5533233,189.0869906,-0.605632689,,
12/21/21,35069.5,35508.96,35069.5,35492.7,4.550139038,188.3950636,-1.092759597,,
12/20/21,35222.12,35222.12,34665.5,34932.16,4.543225441,186.9014714,-0.169025499,,
12/17/21,35800.11,35800.11,35284.26,35365.44,4.548579066,188.0570126,1.282626971,,
12/16/21,36036.28,36189.83,35778.21,35897.64,4.555065898,189.4667253,0.744155882,,
12/15/21,35549.35,35943.84,35389.3,35927.43,4.555426152,189.5453244,-0.467541702,,
12/14/21,35605.73,35779.47,35441.74,35544.18,4.5507685,188.5316419,-0.365366399,,
12/13/21,35958.93,35958.93,35609.53,35650.95,4.552071107,188.8145916,0.564277117,,
12/10/21,35830.55,35982.69,35710.43,35970.99,4.555952391,189.6601961,0.137257191,,
12/9/21,35722.26,35864.24,35577.14,35754.69,4.553333017,189.089106,-0.285465753,,
12/8/21,35716.85,35840.52,35602.65,35754.75,4.553333746,189.0892646,-0.046629732,,
12/7/21,35423.99,35819.47,35423.99,35719.43,4.55290452,188.9958465,-0.700306437,,
12/6/21,34633.43,35356.75,34633.43,35227.03,4.546876029,187.6886518,-1.519323569,,
12/3/21,34692.78,34801.31,34264.57,34580.08,4.538825994,185.9571994,-0.785486967,,
12/2/21,34076.25,34759.65,34076.25,34639.79,4.53957525,186.1176778,-0.753277786,,
12/1/21,34678.94,35004.64,34006.98,34022.04,4.531760351,184.4506438,-0.209875538,,
11/30/21,35056.99,35056.99,34424.44,34483.72,4.53761411,185.6979268,1.497594185,,4.2
11/29/21,35017.71,35287.91,34895.89,35135.94,4.545751577,187.4458322,0.557861856,,
11/26/21,35366.69,35366.69,34749.8,34899.34,4.542817214,186.8136505,0.887310632,,
11/24/21,35752.31,35825.47,35591.03,35804.38,4.553936158,189.2204534,1.215846469,,
11/23/21,35619.92,35841.52,35542.87,35813.8,4.554050404,189.2453434,-0.244912647,,
